mode,noise_scale,run,recall_1,recall_10,mrr,ndcg_10,semantic_drift,rank_corr,latency_ms,bandwidth_kb,privacy_latency_ms,attack_asr_1,attack_asr_5,recon_error,epsilon,score_inf_acc
plaintext,0.0,1,0.8600,0.9400,0.8933,0.9052,1.0000,1.0000,202.9159,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8600
plaintext,0.0,2,0.8600,0.9400,0.8933,0.9052,1.0000,1.0000,185.3467,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8600
plaintext,0.0,3,0.8600,0.9400,0.8933,0.9052,1.0000,1.0000,179.7231,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8600
plaintext,0.0,4,0.8600,0.9400,0.8933,0.9052,1.0000,1.0000,185.9208,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8600
plaintext,0.0,5,0.8600,0.9400,0.8933,0.9052,1.0000,1.0000,188.7821,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8600
vs_adp,0.1,1,0.8400,0.9600,0.8856,0.9039,0.9480,0.9019,191.3814,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8400
vs_adp,0.1,2,0.8200,0.9400,0.8767,0.8931,0.9380,0.8748,197.5504,7.3125,0.0000,1.0000,1.0000,0.0049,8448115.1293,0.8200
vs_adp,0.1,3,0.8600,0.9400,0.8933,0.9052,0.9380,0.8708,200.6996,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8600
vs_adp,0.1,4,0.8800,0.9400,0.9033,0.9126,0.9280,0.8429,203.4402,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8800
vs_adp,0.1,5,0.8600,0.9400,0.8967,0.9079,0.9400,0.8572,197.5085,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8600
vs_adp,0.5,1,0.8000,0.9200,0.8467,0.8652,0.7600,0.6097,220.1048,7.3125,0.0000,1.0000,1.0000,0.1039,338035.1293,0.8000
vs_adp,0.5,2,0.8800,0.9600,0.9100,0.9224,0.7680,0.6794,223.5409,7.3125,0.0000,1.0000,1.0000,0.1055,338035.1293,0.8800
vs_adp,0.5,3,0.8600,0.9600,0.9000,0.9150,0.7940,0.6520,208.5924,7.3125,0.0000,1.0000,1.0000,0.1071,338035.1293,0.8600
vs_adp,0.5,4,0.7800,0.9400,0.8462,0.8698,0.7780,0.6834,204.7731,7.3125,0.0000,1.0000,1.0000,0.1051,338035.1293,0.7800
vs_adp,0.5,5,0.8400,0.9400,0.8783,0.8939,0.7840,0.6116,201.0838,7.3125,0.0000,1.0000,1.0000,0.1035,338035.1293,0.8400
vs_adp,1.0,1,0.8400,0.9600,0.8867,0.9051,0.6400,0.5328,199.8497,7.3125,0.0000,0.9600,0.9800,0.2930,84595.1293,0.8400
vs_adp,1.0,2,0.8800,0.9400,0.9017,0.9112,0.6340,0.5224,220.2269,7.3125,0.0000,0.9800,1.0000,0.2967,84595.1293,0.8800
vs_adp,1.0,3,0.8400,0.9600,0.8833,0.9025,0.6380,0.5405,229.1269,7.3125,0.0000,0.9200,1.0000,0.2905,84595.1293,0.8400
vs_adp,1.0,4,0.8200,0.9200,0.8567,0.8724,0.6460,0.5405,212.4692,7.3125,0.0000,0.9600,0.9800,0.2927,84595.1293,0.8200
vs_adp,1.0,5,0.8400,0.9600,0.8803,0.8996,0.6320,0.5469,239.6837,7.3125,0.0000,0.9600,1.0000,0.2935,84595.1293,0.8400
vs_adp,2.0,1,0.8200,0.9400,0.8642,0.8828,0.5160,0.4919,230.6356,7.3125,0.0000,0.6800,0.8800,0.5537,21235.1293,0.8200
vs_adp,2.0,2,0.8200,0.9600,0.8673,0.8902,0.5020,0.4678,202.0224,7.3125,0.0000,0.7400,0.8600,0.5553,21235.1293,0.8200
vs_adp,2.0,3,0.7800,0.9800,0.8435,0.8767,0.4960,0.5005,205.0219,7.3125,0.0000,0.7000,0.8200,0.5513,21235.1293,0.7800
vs_adp,2.0,4,0.8600,1.0000,0.9167,0.9377,0.5180,0.4994,203.8536,7.3125,0.0000,0.6400,0.8000,0.5612,21235.1293,0.8600
vs_adp,2.0,5,0.8200,0.9400,0.8562,0.8765,0.4980,0.5202,201.2587,7.3125,0.0000,0.6200,0.7800,0.5592,21235.1293,0.8200
he_lite,0.0,1,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2092.6583,21666.6145,8.1287,1.0000,1.0000,-0.0000,0.0000,0.0000
he_lite,0.0,2,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2069.8013,21666.5048,9.2729,1.0000,1.0000,-0.0000,0.0000,0.0000
he_lite,0.0,3,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2120.4228,21666.6289,8.0528,1.0000,1.0000,-0.0000,0.0000,0.0000
he_lite,0.0,4,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2391.5872,21666.5534,9.6267,1.0000,1.0000,-0.0000,0.0000,0.0000
he_lite,0.0,5,0.9400,1.0000,0.9667,0.9752,0.3280,0.4968,2055.3152,21666.6440,8.7754,1.0000,1.0000,-0.0000,0.0000,0.0000
lsh,0.0,1,0.8400,0.9800,0.8983,0.9191,0.4400,0.4718,203.0465,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8400
lsh,0.0,2,0.8400,0.9800,0.8983,0.9191,0.4400,0.4718,202.8094,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8400
lsh,0.0,3,0.8400,0.9800,0.8983,0.9191,0.4400,0.4718,200.9364,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8400
lsh,0.0,4,0.8400,0.9800,0.8983,0.9191,0.4400,0.4718,206.6050,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8400
lsh,0.0,5,0.8400,0.9800,0.8983,0.9191,0.4400,0.4718,201.1449,7.3125,0.0000,1.0000,1.0000,-0.0000,0.0000,0.8400
lsh_adp,0.1,1,0.8400,0.9800,0.9007,0.9208,0.4060,0.4664,203.3609,7.3125,0.0000,1.0000,1.0000,0.0050,8448115.1293,0.8400
